Bank,Ellisellidae,Gorgoniidae,Nephtheidae,Nidalidae,Plexauridae,Primnoidae,Antipathidae,Aphanipathidae,Myriopathidae,Milleporidae,Agariciidae,Astrocoeniidae,Caryophylliidae,Faviidae,Merulinidae,Montastraeidae,Oculinidae,Pocilloporidae,Poritidae,Siderastreidae
Bright,0.000283607,0,0,0,3.15E-05,0,0.000945358,0,3.15E-05,0.001764669,6.30E-05,0.000346631,0,0,0,9.45E-05,0,0.000567215,0,0
East FGB,0.00111827,3.34E-05,0,0,0.002103014,5.01E-05,0.00312114,0.000884601,0.001084888,0.000317121,0.000100144,0.00170244,3.34E-05,0.004623293,0.008311914,0.003788764,8.35E-05,0.001318557,0.001101579,0.000667624
Geyer,0.000186833,0.000467082,0,0,0.000513791,0,0.003012681,0,0.001307831,0,0,0,0,0,0,0,0,0.001821621,0,0
McGrail,0.000617622,0.000282341,0,3.53E-05,0.001517585,0.00019411,0.002699889,0.000105878,0.0007235,0.00019411,7.06E-05,0.00158817,0,0,0,0,0.000141171,0.00178228,0,0
West FGB,0.000449236,0,2.14E-05,2.14E-05,0.000791512,0,0.001411886,0.002481496,0.000427844,0.000342275,8.56E-05,0.001411886,0,0.005134129,0.021691696,0.003486929,0.000106961,0.000748727,0.00213922,0.000941257
