Bank,Ellisellidae,Gorgoniidae,Nephtheidae,Nidalidae,Plexauridae,Primnoidae,Antipathidae,Aphanipathidae,Myriopathidae,Milleporidae,Agariciidae,Astrocoeniidae,Caryophylliidae,Faviidae,Merulinidae,Montastraeidae,Oculinidae,Pocilloporidae,Poritidae,Siderastreidae
Bright,0.084107975,0.560838944,0,0,0.252183821,0,0.108844043,0,0.019862919,0.925426095,0.034547514,0.273433158,0,0.025940578,0,0,0,0.81800764,0,0
East FGB,2.147895149,0,0.359861226,0.156038785,1.988946703,0,1.303615453,0.984815493,0.851418476,0.549490178,0.35927403,1.645867507,0.408005519,1.014745948,1.356075552,1.151361222,0.324298858,0,0.942956268,0.684728095
Geyer,0.258108424,0.291590173,0,0,0.959078657,0,0.55076173,0,0.072956154,0,0.038411933,0,0.02999948,0.025188109,0,0,0,3.002356508,0,0
McGrail,0.38766868,0.455828149,0,0.057038158,0.599917203,0.146115109,0.313095961,0.327507634,0.458572783,0.08158701,0.031792503,0.299664263,0.039270936,0.019237435,0,0,0.053282368,1.924181508,0,0
West FGB,1.335112452,0,0.260948928,0.459408549,0.892789022,0,0.743165146,2.717092003,0.686483951,0.87455696,0.147175728,0.584841679,0.282226022,0.551770961,1.081422515,1.175878142,0.291714639,0,2.16618652,0.744940968
