Bank,Ellisellidae,Gorgoniidae,Nephtheidae,Nidalidae,Paramuriceidae,Plexauridae,Primnoidae,Antipathidae,Aphanipathidae,Myriopathidae,Milleporidae,Agariciiadae,Astrocoeniidae,Caryophylliidae,Faviidae,Merulinidae,Montastraeidae,Oculinidae,Pocilloporidae,Poritidae,Siderastreidae
Geyer,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Geyer,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
Geyer,4,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,12,0,0
Geyer,0,0,0,0,0,0,0,15,0,3,0,0,0,0,0,0,0,0,0,0,0
Geyer,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0
McGrail,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
McGrail,1,1,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
McGrail,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,2,0,0
McGrail,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0
McGrail,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
McGrail,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0
McGrail,0,0,0,0,0,0,0,17,0,1,0,0,0,0,0,0,0,0,0,0,0
McGrail,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0
McGrail,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
McGrail,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,10,0,0
McGrail,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
McGrail,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,17,0,0
McGrail,0,2,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,26,0,0
McGrail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
McGrail,0,0,0,0,0,0,0,0,0,0,7,0,86,0,0,0,0,0,0,0,0
McGrail,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
McGrail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
McGrail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
McGrail,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
McGrail,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0
McGrail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
McGrail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
McGrail,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
McGrail,2,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0
McGrail,9,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
McGrail,0,1,0,0,0,27,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
McGrail,10,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
McGrail,2,0,0,0,0,9,4,21,5,22,0,0,0,0,0,0,0,0,0,0,0
McGrail,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
McGrail,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
McGrail,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
McGrail,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,26,0,0
McGrail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
McGrail,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,5,0,0
McGrail,5,0,0,0,0,18,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0
McGrail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
McGrail,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0
McGrail,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
McGrail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
McGrail,0,0,0,0,0,8,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0
McGrail,6,0,0,2,0,13,1,4,0,9,0,0,0,0,0,0,0,0,0,0,0
East FGB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
East FGB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
East FGB,0,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
East FGB,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
East FGB,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0
East FGB,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
East FGB,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0
East FGB,0,0,0,0,0,0,0,0,0,0,5,0,65,0,0,0,98,0,0,9,0
East FGB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
East FGB,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
East FGB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
East FGB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
East FGB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
East FGB,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
East FGB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
East FGB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
East FGB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
East FGB,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
East FGB,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
East FGB,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
East FGB,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
East FGB,4,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
East FGB,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
East FGB,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
East FGB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
East FGB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
East FGB,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0
East FGB,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0
East FGB,0,0,0,0,0,0,0,8,6,0,0,0,0,0,0,0,0,0,0,0,0
East FGB,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
East FGB,0,0,0,0,0,0,0,0,0,0,0,1,0,0,41,50,10,0,20,0,12
East FGB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,100,18,0,34,5,0
East FGB,0,0,0,0,0,0,0,0,0,0,0,0,17,0,111,58,15,0,2,12,4
East FGB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,119,7,0,0,5,0
East FGB,0,0,0,0,0,0,0,0,0,0,0,1,0,0,59,148,9,0,0,20,24
East FGB,0,0,0,0,0,0,0,0,0,0,14,0,17,0,0,23,68,0,0,14,0
East FGB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
East FGB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
East FGB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
East FGB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
East FGB,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
East FGB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
East FGB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
East FGB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
East FGB,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
East FGB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
East FGB,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
East FGB,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
East FGB,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
East FGB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
East FGB,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
East FGB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
East FGB,3,0,0,0,0,1,0,19,0,1,0,0,0,0,0,0,0,0,0,0,0
East FGB,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
East FGB,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
East FGB,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
East FGB,10,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
East FGB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
East FGB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
East FGB,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
East FGB,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
East FGB,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
East FGB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
East FGB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
East FGB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
East FGB,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
East FGB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
East FGB,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0
East FGB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
East FGB,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
East FGB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
East FGB,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0
East FGB,1,0,0,0,0,3,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0
East FGB,3,0,0,0,0,6,0,1,0,3,0,0,0,1,0,0,0,0,1,0,0
East FGB,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
East FGB,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
East FGB,0,0,0,0,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
East FGB,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
East FGB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
East FGB,1,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
East FGB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
East FGB,1,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
East FGB,1,0,0,0,0,11,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
East FGB,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0
East FGB,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
East FGB,12,0,0,0,0,1,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0
East FGB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
East FGB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
East FGB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
East FGB,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
East FGB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
East FGB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
East FGB,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
East FGB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
East FGB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
East FGB,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
East FGB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
East FGB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
East FGB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
East FGB,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
East FGB,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
East FGB,2,0,0,0,0,19,0,14,12,12,0,0,0,0,0,0,0,0,1,0,0
East FGB,3,0,0,0,0,16,0,1,6,32,0,0,0,0,0,0,0,0,0,0,0
East FGB,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
East FGB,2,0,0,0,0,4,0,8,2,5,0,0,0,0,0,0,0,0,0,0,0
East FGB,0,0,0,0,0,6,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0
East FGB,2,0,0,0,0,5,0,2,0,5,0,0,0,0,0,0,0,4,14,0,0
West FGB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West FGB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West FGB,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West FGB,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West FGB,0,0,0,0,0,1,0,1,6,4,0,0,0,0,0,0,0,0,0,0,0
West FGB,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
West FGB,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
West FGB,0,0,0,0,0,1,0,3,6,2,0,0,0,0,0,0,0,0,0,0,0
West FGB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West FGB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West FGB,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0
West FGB,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
West FGB,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
West FGB,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0
West FGB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West FGB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West FGB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
West FGB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West FGB,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
West FGB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West FGB,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
West FGB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West FGB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West FGB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West FGB,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West FGB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West FGB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West FGB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West FGB,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West FGB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West FGB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West FGB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
West FGB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West FGB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West FGB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West FGB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West FGB,0,0,0,0,0,0,0,0,0,0,0,0,8,0,7,56,35,0,24,26,0
West FGB,0,0,0,0,0,0,0,0,0,0,2,0,4,0,78,261,6,0,1,30,0
West FGB,0,0,0,0,0,0,0,0,0,0,1,1,0,0,32,435,57,0,0,2,0
West FGB,0,0,0,0,0,0,0,0,0,0,0,0,35,0,106,202,29,0,4,14,0
West FGB,0,0,0,0,0,0,0,0,0,0,12,0,19,0,16,60,36,0,0,27,44
West FGB,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
West FGB,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
West FGB,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
West FGB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West FGB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West FGB,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
West FGB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West FGB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West FGB,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West FGB,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
West FGB,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
West FGB,1,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
West FGB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West FGB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West FGB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West FGB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West FGB,0,0,0,0,0,3,0,0,13,0,0,0,0,0,0,0,0,0,1,0,0
West FGB,2,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0
West FGB,0,0,0,0,0,2,0,2,5,1,0,0,0,0,0,0,0,0,0,0,0
West FGB,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
West FGB,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
West FGB,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0
West FGB,0,0,0,0,0,0,0,4,12,0,0,0,0,0,0,0,0,0,0,0,0
West FGB,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
West FGB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
West FGB,2,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
West FGB,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0
West FGB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West FGB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West FGB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West FGB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West FGB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West FGB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West FGB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West FGB,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
West FGB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West FGB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West FGB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West FGB,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
West FGB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West FGB,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
West FGB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West FGB,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
West FGB,1,0,0,0,0,10,0,0,5,7,0,0,0,0,0,0,0,3,0,0,0
West FGB,2,0,0,0,0,0,0,7,10,0,0,0,0,0,0,0,0,0,0,0,0
West FGB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West FGB,4,0,1,0,0,4,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
West FGB,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
West FGB,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0
West FGB,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
West FGB,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
West FGB,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0
