Bank,Ellisellidae,Gorgoniidae,Nephtheidae,Nidalidae,Paramuriceidae,Plexauridae,Primnoidae,Antipathidae,Aphanipathidae,Myriopathidae,Milleporidae,Agariciiadae,Astrocoeniidae,Caryophylliidae,Faviidae,Merulinidae,Montastraeidae,Oculinidae,Pocilloporidae,Poritidae,Siderastreidae
Bright,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0
Bright,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bright,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bright,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Bright,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Bright,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Bright,5,0,0,0,0,0,0,15,0,1,0,0,0,0,0,0,0,0,0,0,0
Bright,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
Bright,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Bright,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bright,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bright,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Bright,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Bright,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,0,0
Bright,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bright,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Bright,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bright,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bright,0,0,0,0,0,0,0,0,0,0,56,0,2,0,0,0,1,0,0,0,0
Bright,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bright,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
Geyer,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Geyer,0,12,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,22,0,0
Geyer,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Geyer,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0
Geyer,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Geyer,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Geyer,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
Geyer,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
Geyer,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
Geyer,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Geyer,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Geyer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Geyer,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Geyer,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Geyer,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Geyer,1,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
Geyer,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Geyer,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0
Geyer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Geyer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Geyer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Geyer,0,0,0,0,0,0,0,14,0,1,0,0,0,0,0,0,0,0,0,0,0
Geyer,0,0,0,0,0,1,0,10,0,0,0,0,0,0,0,0,0,0,1,0,0
Geyer,0,1,0,0,0,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
